identifier	2019	geometry
94043558-a546-48b5-baaf-08884f7ed760	1	0106000020110F00000100000001030000000100000009000000DBFC7BB9E7FC3441ED7DD2AD82B255414F92D89D27FD3441F078375F85B25541C4143BEB29FD3441F8105B5F81B2554121C2C979EEFC3441C1A916EF7EB255417E5DD328EDFC3441532259E17EB2554108FF71B2EAFC34418FD323C77EB255411FF76080E1FC3441648DAF1B80B255413D28CC57E1FC3441AF5B107380B25541DBFC7BB9E7FC3441ED7DD2AD82B25541
2f2f6370-a1a5-4b8e-9ae0-a0e809e4afe2	1	0106000020110F00000100000001030000000100000004000000439D282B88FD3441DBDDA5DB71B25541C1F2BA2C83FD34410FF6CFCF73B255411415A8FC8FFD3441A93CF50073B25541439D282B88FD3441DBDDA5DB71B25541
b5077e01-2cad-45a6-b05e-b7f4ad43d162	1	0106000020110F00000100000001030000000100000010000000469E81A869FD3441C879E6CB70B255414F09BD6E68FD34413025700771B25541246C0CFD67FD3441353D7DF170B255417FA729905AFD34416F4CE88A76B25541B37BB2674BFD3441F5EC6C4A74B25541462AE71346FD34414B67CF9D76B255413C4B55974AFD3441E36C505B77B255412E55346E4BFD3441D471569E75B255419FE95D6657FD344114514F2476B25541C730B93756FD3441F981AE3179B2554168C4FF9A5CFD3441C0BB077C76B25541FFEE3C405EFD34411D15A2BD76B25541C0FE0CD964FD34416933A51074B25541D984A35E63FD344171AFCCD573B255417B06A7656AFD3441AC86C7E970B25541469E81A869FD3441C879E6CB70B25541
0b93e9a3-9521-4b0d-b60a-c81679ca99fc	1	0106000020110F000001000000010300000001000000050000007AF4B455F3FD34417C6FE28B4FB255411AEBBEAAF1FD3441E6C7B13850B255418AA698EDF7FD344111C9833251B2554154DCA398F9FD344178B4CA8450B255417AF4B455F3FD34417C6FE28B4FB25541
a88b2825-8dc1-42d1-8454-f93f5c739c07	1	0106000020110F0000010000000103000000010000000900000031D0D8C9B8FD34412650004B21B25541086E202DBDFD3441B5BA9DAF21B25541BD6F742EC5FD3441E3F0C7BF20B25541D9D9DE15C7FD344188AE09E120B25541748DE4BACAFD3441C587CBED22B25541F8FD2E78CFFD3441B130735A23B255416085AEF7D3FD34410BB8902F20B25541421B0041BDFD3441E76A45281EB2554131D0D8C9B8FD34412650004B21B25541
2bb8d32d-c17e-4c4b-ab93-e309fa55553a	1	0106000020110F000001000000010300000001000000050000003E28CCE7F7FC3441B4E4E06F96B255411171682EF7FC3441DFDE2A8397B2554122130EB2FBFC34418D15FAB397B255418525CE67FCFC34418E6AA8A096B255413E28CCE7F7FC3441B4E4E06F96B25541
a95f9702-bfc4-4a6a-a433-89a8ff82b961	1	0106000020110F0000010000000103000000010000000F0000004AB710824FFD3441E20C38BB9FB25541525569A85FFD34410779BAB6A0B25541F09C35DD6CFD3441F7D37D0C8CB25541EBC168A971FD344177B59B8784B25541CE0B80A470FD3441EE2F3A7D84B255419A772BC262FD3441E9E1FEEA83B25541EABE061F62FD3441F26315E583B255410D69B7B45BFD34412A73768D8DB25541724BAF285BFD344186249B5C8EB255414C8F687D5CFD34414E7C76698EB255410F5D05E75AFD344167F6251591B25541AB8C533B59FD34414787D50491B25541F6709BBB58FD3441A6BC1DC991B25541117B26A14FFD3441534B89909FB255414AB710824FFD3441E20C38BB9FB25541
4c755bb9-f90b-4805-a997-e3d7ca533e98	1	0106000020110F00000100000001030000000100000006000000847692D3DAFD3441FCA4974F1FB25541F20810C0D9FD3441A54F012420B255411CC8BAEDD8FD3441722BF8C320B255418BD2128EE9FD34412580781F22B255416ADD1E70EBFD3441CD62F7AB20B25541847692D3DAFD3441FCA4974F1FB25541
c067c78d-889c-42f2-a734-24f927d9e239	1	0106000020110F0000010000000103000000010000000D0000009B0208A3C2FC3441F9EC62F68BB25541BFBEB6AEC6FC3441DB764B258CB25541CB585B69C7FC344178184A248BB25541043231AACAFC3441EC7F374A8BB255416AD9CD40D7FC34411D304CDE8BB255415C46CAABD9FC344192A47D4A88B25541626BE3BAD9FC344127D0A32A88B25541E9035451DAFC344137BE170C87B255417BABFE0FD9FC3441323E42F686B255411954C2C7D4FC34413720566F85B25541962936D5C6FC344172DFBEE984B255411D44A5DAC2FC3441F9917C9B8BB255419B0208A3C2FC3441F9EC62F68BB25541
f11dd075-0a40-493c-84b9-46c526e7c8df	1	0106000020110F00000100000001030000000100000007000000A8F3633BD3FD3441137DD76847B255414D0F6124DCFD34415BDD9A7948B25541FE8C726AEAFD3441FA29CC4741B25541F761A1DAE0FD3441D4C1AD1540B2554148871531DCFD3441EB89DC7042B25541CEE8E7E7DCFD34413BFC608742B25541A8F3633BD3FD3441137DD76847B25541
63b3cdd2-f67f-4176-a875-632f203c36b4	1	0106000020110F00000100000001030000000100000005000000335F844AF5FD34410E14D75B22B2554140FF3BDFFAFD344123A2CBC422B255413FE1B268FCFD3441B935047621B25541C27304D4F6FD3441CA19120D21B25541335F844AF5FD34410E14D75B22B25541
0bb67193-6739-443d-8663-7360847f382f	1	0106000020110F0000010000000103000000010000000600000008E8B0AD09FE34413EE9C65A23B25541B07AE74906FE3441E14D761926B255417A4689FC05FE34417E04DC5726B25541093120640BFE344129B967CB26B2554179B9962B0FFE344193C2D7CA23B2554108E8B0AD09FE34413EE9C65A23B25541
fa5b267f-c277-4fba-ab91-343a1383ad4e	1	0106000020110F000001000000010300000001000000100000006AD9CD40D7FC34411D304CDE8BB255416EB40754D8FC34413CA29DEA8BB25541F6709BBB58FD3441A6BC1DC991B25541AB8C533B59FD34414787D50491B255410F5D05E75AFD344167F6251591B255414C8F687D5CFD34414E7C76698EB25541724BAF285BFD344186249B5C8EB255410D69B7B45BFD34412A73768D8DB255417C3E320626FD34419AA1511F8BB25541A8912FF90EFD34416D73DA238AB25541790AAB1E0DFD34416D7F7F0F8AB25541791EDC92E3FC3441F2BA334C88B255416919845DE3FC34417A88C59588B25541626BE3BAD9FC344127D0A32A88B255415C46CAABD9FC344192A47D4A88B255416AD9CD40D7FC34411D304CDE8BB25541
ef2b6ec6-5441-40e0-bfa1-285645742188	1	0106000020110F00000100000001030000000100000007000000086E202DBDFD3441B5BA9DAF21B2554199425664BCFD3441273C4D3E22B255415787B2F6C9FD3441B0D4357523B25541748DE4BACAFD3441C587CBED22B25541D9D9DE15C7FD344188AE09E120B25541BD6F742EC5FD3441E3F0C7BF20B25541086E202DBDFD3441B5BA9DAF21B25541
