BW_ID	WKT	IslandName	Date	Start	End	Name	Function	Start_Function	End_Function	Use	Start_Use	End_Use	Typology	Start_Typology	End_Typology	Height	Material	Architect	Patron	Owner	Start_Owner	End_Owner	Tenant	Start_Tenant	End_Tenant	SHP_Lenght	SHP_Area
SS_BLDG_026	MULTIPOLYGON (((1370045.44353241 5692822.78177392,1370050.42683468 5692828.06556944,1370052.52091105 5692830.28559567,1370062.26775377 5692822.31970115,1370065.16577684 5692819.95139069,1370065.53449885 5692820.19054933,1370067.00710293 5692818.95513995,1370066.22992004 5692818.10180062,1370059.86333687 5692811.11041393,1370051.57899014 5692817.66718716,1370046.82434594 5692821.49859567,1370045.44353241 5692822.78177392)))	San Secondo	1717	1563-01-01	1838-12-31	Lavatorio	Private	1563-01-01	1806-07-27	Service	1563-01-01	1838-12-31	Wash house	1563-01-01	1838-12-31		Brick		42	42	1563-01-01	1806-07-27				40.8188179011757	94.1815941409493
SS_BLDG_026	MULTIPOLYGON (((1370045.44353241 5692822.78177392,1370050.42683468 5692828.06556944,1370052.52091105 5692830.28559567,1370062.26775377 5692822.31970115,1370065.16577684 5692819.95139069,1370065.53449885 5692820.19054933,1370067.00710293 5692818.95513995,1370066.22992004 5692818.10180062,1370059.86333687 5692811.11041393,1370051.57899014 5692817.66718716,1370046.82434594 5692821.49859567,1370045.44353241 5692822.78177392)))	San Secondo	1697	1563-01-01	1838-12-31	Lavatorio	Private	1563-01-01	1806-07-27	Service	1563-01-01	1838-12-31	Wash house	1563-01-01	1838-12-31		Brick		42	42	1563-01-01	1806-07-27				40.8188179011757	94.1815941409493
SS_BLDG_027	MULTIPOLYGON (((1370148.13361549 5692906.86322441,1370149.97452303 5692905.79068784,1370153.62493055 5692903.66433851,1370156.84691797 5692901.99135636,1370152.99567644 5692895.33595108,1370151.4755324 5692892.70897276,1370144.69141176 5692896.66091407,1370149.58589382 5692905.11883511,1370147.81641045 5692906.31511817,1370148.13361549 5692906.86322441)))	San Secondo	1789	1777-01-01	1838-12-31	Legnaia	Private	1777-01-01	1806-07-27	Service	1777-01-01	1838-12-31	Woodshed	1777-01-01	1838-12-31		Brick		42	42	1777-01-01	1806-07-27				28.8345566114051	41.6552530786949
SS_BLDG_028	MULTIPOLYGON (((1370181.57335137 5692893.77263881,1370185.95150212 5692901.68280715,1370189.85460484 5692899.50800326,1370183.84244989 5692888.64604322,1370183.814252 5692888.60421416,1370179.76937569 5692890.39120774,1370181.57335137 5692893.77263881)))	San Secondo	1717	1563-01-01	1838-12-31	Pontile	Public	1563-01-01	1838-12-31	Service	1563-01-01	1838-12-31	Dock	1563-01-01	1838-12-31	1.0	Wood		89	88	1563-01-01	1797-05-11	42	1534-01-01	1806-07-27	24.0036448863477	27.80572856545
SS_BLDG_028	MULTIPOLYGON (((1370163.09919855 5692898.77558339,1370165.33723683 5692902.81899589,1370181.57335137 5692893.77263881,1370185.95150212 5692901.68280715,1370189.85460484 5692899.50800326,1370183.84244989 5692888.64604322,1370183.814252 5692888.60421416,1370183.281619 5692888.83906131,1370179.51222354 5692890.50125329,1370176.73006359 5692891.72811471,1370175.03372911 5692892.50057303,1370171.70211251 5692894.24951115,1370170.82718859 5692894.70876557,1370166.31646402 5692897.07436883,1370163.09919855 5692898.77558339)))	San Secondo	1789	1563-01-01	1838-12-31	Pontile	Public	1563-01-01	1838-12-31	Service	1563-01-01	1838-12-31	Dock	1563-01-01	1838-12-31		Wood		89	88	1563-01-01	1797-05-11	42	1534-01-01	1806-07-27	50.7165346666061	67.7056878898676
SS_BLDG_029	MULTIPOLYGON (((1370128.44345237 5692918.33315286,1370136.45480437 5692932.68627252,1370140.87124517 5692930.20472918,1370132.82133443 5692915.78293391,1370128.44345237 5692918.33315286)))	San Secondo	1789	1777-01-01	1838-12-31	Pontile	Public	1777-01-01	1838-12-31	Service	1777-01-01	1838-12-31	Dock	1777-01-01	1838-12-31		Wood		89	88	1777-01-01	1797-05-11	42	1777-01-01	1806-07-27	30.2128088199057	41.0807998025482
SS_BLDG_030	MULTIPOLYGON (((1370148.13361549 5692906.86322441,1370149.97452303 5692905.79068784,1370153.62493055 5692903.66433851,1370156.84691797 5692901.99135636,1370152.99567644 5692895.33595108,1370151.4755324 5692892.70897276,1370144.69141176 5692896.66091407,1370140.50135638 5692899.11481001,1370146.00126876 5692908.10535837,1370148.13361549 5692906.86322441)))	San Secondo	1697	1563-01-01	1788-12-31	Caneva	Private	1563-01-01	1788-12-31	Service	1563-01-01	1788-12-31	Kitchen pantry	1563-01-01	1788-12-31		Brick	43	42	42	1563-01-01	1806-07-27				32.5716488889651	65.4438961254208
SS_BLDG_030	MULTIPOLYGON (((1370148.13361549 5692906.86322441,1370149.97452303 5692905.79068784,1370153.62493055 5692903.66433851,1370156.84691797 5692901.99135636,1370152.99567644 5692895.33595108,1370151.4755324 5692892.70897276,1370144.69141176 5692896.66091407,1370140.50135638 5692899.11481001,1370146.00126876 5692908.10535837,1370148.13361549 5692906.86322441)))	San Secondo	1717	1563-01-01	1788-12-31	Caneva	Private	1563-01-01	1788-12-31	Service	1563-01-01	1788-12-31	Kitchen pantry	1563-01-01	1788-12-31		Brick	43	42	42	1563-01-01	1806-07-27				32.5716488889651	65.4438961254208
SS_BLDG_031	MULTIPOLYGON (((1370102.71466089 5692866.71487634,1370105.21713862 5692872.85180891,1370112.49761924 5692885.30403782,1370115.63437918 5692890.72028196,1370122.00445474 5692903.09288153,1370123.78815393 5692906.37275108,1370129.84763499 5692917.51506844,1370146.00126876 5692908.10535837,1370140.50135638 5692899.11481001,1370137.85585507 5692894.67214228,1370136.60720666 5692892.74899453,1370130.91082051 5692883.00881375,1370117.63896901 5692857.93114305,1370106.95771608 5692861.95596787,1370102.71466089 5692866.71487634)))	San Secondo	1697	1518-01-01	1776-12-31	Dormitorio	Private	1518-01-01	1776-12-31	Religious	1518-01-01	1776-12-31	Dormitory	1518-01-01	1776-12-31		Brick ; Istrian marble		16	42	1534-01-01	1806-07-27				106.43495676324	511.278835170176
SS_BLDG_031	MULTIPOLYGON (((1370102.71466089 5692866.71487634,1370105.21713862 5692872.85180891,1370112.49761924 5692885.30403782,1370115.63437918 5692890.72028196,1370122.00445474 5692903.09288153,1370123.78815393 5692906.37275108,1370129.84763499 5692917.51506844,1370146.00126876 5692908.10535837,1370140.50135638 5692899.11481001,1370137.85585507 5692894.67214228,1370136.60720666 5692892.74899453,1370130.91082051 5692883.00881375,1370117.63896901 5692857.93114305,1370106.95771608 5692861.95596787,1370102.71466089 5692866.71487634)))	San Secondo	1717	1518-01-01	1776-12-31	Dormitorio	Private	1518-01-01	1776-12-31	Religious	1518-01-01	1776-12-31	Dormitory	1518-01-01	1776-12-31		Brick ; Istrian marble		16	42	1534-01-01	1806-07-27				106.43495676324	511.278835170176
